URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,42,9,0.65,0.08,27.1,0.21,10.924000000000001,27.08,138,650,2.3630769230769233,4,6.0964247020585045
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,9,1,0.8,0.05,30.0,0.22,12.088000000000001,30.0,46,210,2.1714285714285713,3,6.4903474903474905
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,9,1,0.8,0.05,29.6,0.22,11.928,29.57,45,207,2.1690821256038646,3,6.441860465116279
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,9,1,0.8,0.05,29.9,0.22,12.048,29.86,45,209,2.1674641148325358,3,6.467181467181467
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,9,1,0.8,0.05,30.0,0.22,12.088000000000001,30.0,47,210,2.176190476190476,3,6.501930501930502
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,9,1,0.8,0.05,29.6,0.22,11.928,29.57,45,207,2.178743961352657,3,6.4689922480620154
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,9,1,0.8,0.05,30.4,0.22,12.248,30.43,47,213,2.1737089201877935,3,6.469465648854962
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,9,1,0.8,0.05,30.1,0.22,12.128,30.14,46,211,2.1658767772511847,3,6.525096525096525
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,9,1,0.8,0.05,31.4,0.21,12.644,31.43,46,220,2.1454545454545455,3,6.541353383458647
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,9,1,0.8,0.05,30.7,0.21,12.364,30.71,46,215,2.1627906976744184,3,6.583969465648855
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,10,1,0.82,0.05,30.6,0.22,12.328000000000001,30.57,47,214,2.177570093457944,3,6.53639846743295
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,26,5,0.68,0.05,16.5,0.19,6.676000000000001,16.53,118,628,2.004777070063694,3,6.4338624338624335
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,25,7,0.56,0.07,20.9,0.2,8.44,20.86,86,438,2.0913242009132422,7,6.185639229422066
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,12,5,0.41,0.06,25.5,0.22,10.288,25.5,67,306,2.1633986928104574,4,6.196078431372549
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,27,7,0.59,0.07,14.9,0.17,6.0280000000000005,14.89,91,521,2.1516314779270633,21,5.790575916230367
